sample.id	cluster.id	cluster.name		
ABFM	50	MixedOrigins_clust3
ABFN	42	Dairy_Tree
ABFP	33	Tree_MediterraneanOak
ABFQ	89	Wine_European
ABFR	89	Wine_European
ABFS	34	Dairy_frenchCheese_Camembert
ABFT	34	Dairy_frenchCheese_Camembert
ABFV	34	Dairy_frenchCheese_Camembert
ABGA	34	Dairy_frenchCheese_Camembert
ABGB	34	Dairy_frenchCheese_Camembert
ABGC	34	Dairy_frenchCheese_Camembert
ABGD	34	Dairy_frenchCheese_Camembert
ABGE	34	Dairy_frenchCheese_Camembert
ABGF	34	Dairy_frenchCheese_Camembert
ABGG	34	Dairy_frenchCheese_Camembert
ABGH	34	Dairy_frenchCheese_Camembert
ABGI	34	Dairy_frenchCheese_Camembert
ABGK	34	Dairy_frenchCheese_Camembert
ABGL	34	Dairy_frenchCheese_Camembert
ABGM	42	Dairy_Tree
ABGN	34	Dairy_frenchCheese_Camembert
ABGP	42	Dairy_Tree
ABGQ	34	Dairy_frenchCheese_Camembert
ABGR	34	Dairy_frenchCheese_Camembert
ABGS	34	Dairy_frenchCheese_Camembert
ABGT	34	Dairy_frenchCheese_Camembert
ABGV	34	Dairy_frenchCheese_Camembert
ABHA	69	Beer_Africa
ABHB	90	Wine_PdM
ABHC	89	Wine_European
ABHD	89	Wine_European
ABHE	89	Wine_European
ABHF	89	Wine_European
ABHG	38	Wine
ABHH	89	Wine_European
ABHI	89	Wine_European
ABHK	89	Wine_European
ABHL	89	Wine_European
ABHM	89	Wine_European
ABHN	89	Wine_European
ABHP	85	Asian_fermentation
ABHQ	85	Asian_fermentation
ABHR	85	Asian_fermentation
ABHS	85	Asian_fermentation
ABHT	89	Wine_European
ABHV	89	Wine_European
ABIA	89	Wine_European
ABIB	89	Wine_European
ABIC	89	Wine_European
ABID	89	Wine_European
ABIE	2	Mosaic_region_uncharacterized
ABIF	89	Wine_European
ABIG	89	Wine_European
ABIH	89	Wine_European
ABII	89	Wine_European
ABIK	89	Wine_European
ABIL	89	Wine_European
ABIM	89	Wine_European
ABIN	89	Wine_European
ABIP	89	Wine_European
ABIQ	89	Wine_European
ABIR	89	Wine_European
ABIS	89	Wine_European
ABIT	89	Wine_European
ABKA	89	Wine_European
ABKC	89	Wine_European
ABKD	89	Wine_European
